re;district
сао;Северный административный округ
свао;Северовосточный административный округ
вао;Восточный административный округ
ювао;Юговосточный административный округ
юао;Южный административный округ
юзао;Югозападный административный округ
зао;Западный административный округ
сзао;Северозападный административный округ
цао;Центральный административный округ
тинао;Троицкий и Новомосковский округ
саларьево;Саларьево
ховрино;Ховрино
лефортово;Лефортово
